team,metric,info
Barau,5.0,"Survived last season after improved transfer activity during midseason, retained the players and added a few more experienced NPFL players"
Plateau United,4.0,Bought in players with experience both ages around 30s
Warri Wolves,3.0,Lost a few of their mainstays and bought average players to replace them
Kun Khalifat,4.0,signed players mostly from academies
Rivers United,9.5,Siged ssome of the best players in the league after losing 20 players from th eteam who finished second
Ikorodu City,6.0,Known for introducing new talents into the league and selling them for prorit. They promoted the academy players who won promotion from the lower leagues and sold all their big players. They added experienced Farouk Salami a top striker
Bendel Insurance,6.0,Retained their top strikers in Kayode and Alex and added more experienced players like Adekkunle and one of the league's top scorers
Ranchers Bees,4.0,New team signed experience players to help the players who promoted them
Enyimba,4.5,Lost all their big players while retaining the breakout stars from last season. Nelson Sule has been promoted to the senior team and more brrakout stars are expected but theat leaves them weak in the  early phase of the league.
Niger Tornadoes,4.5,Couldn't retain their top players from last season but has beefed up with average experience players from other clubs in the league/
Nasarawa United,4.0,Sold some of their top talents like Utake and others and recruited average players from the NPFL and NNL 
Kano Pillars,6.0,"Signed a new experienced coach who brought in players from his former team Remo Stars to add to Ahmed Musa and Rabiu Ali, a question of blending persists"
Abia Warriors,4.0,Retaiined some of their top stars and made additional players who have 3 to 4 NPFL years experience
Inter Lagos,4.0,Newly promoted team with relatively young players from lower leagus and a few but not top NPFL players
Katsina United,4.0,Lost Azeez Falolu to Enugu Rangers and brought back talismanic midfielder Michael Ibeh. They also retaine One of the joing league top scorer in Uche Collins
Rangers International,7.0,"League champions retained most of his top players who won the league and brought in Azeez Falolu while retaining Obaje, a joint league top scorer."
Sporting Lagos,6.0,Retained 90% of the squad that won the NNL qualification and added experienced Haruna Hadi to the squad. Only lost Shola to Rivers United
Kwara United,5.0,Lost all of it's top players and recruit a few NPFL experienced players to beef up an entirely new team
Doma United,4.0,Back into the topflight with new coach and fresh players.The Gpmbe based club added a few NPFL experience to the squad for the new season
Shooting Stars,9.0,bought players across the positions who comes with goals and experience.
